Candidate,Coverage End Date,District,Elected?,Elected?1,Incumbent/ Challenger/Open,Party,Party Group,Representative,State,State Match,State Not Selected,Win?,Cash On Hand,Contributions  from Individuals,Contributions and Loans from   the Candidate,Contributions from PACs and Other Committees,Debts,Disbursements,Receipts,Replace Null With 0,sum receipts,Gender
"CARL, JERRY LEE, JR",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"CARL, JERRY LEE, JR",Alabama,FALSE,TRUE,1,453897.82,532388.69,0,499500,468238.58,971793.34,1313718.57,1,1031888.69,Male
"MOORE, FELIX BARRY",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"MOORE, FELIX BARRY",Alabama,FALSE,TRUE,1,467797.48,529421.35,0,343389.25,0,430418.03,896776.46,1,872810.6,Male
"COLEMAN, JEFF",6/30/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,0,0,362063.05,0,0,362073.05,362073.05,0,362063.05,Male
"HARVEY-HALL, PHYLLIS",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,220.58,48936.06,7823,350,1200,60219.66,60440.24,0,57109.06,Female
"PATEL, VIMAL",6/30/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,1287.68,31023.81,30076,0,12811,59812.13,61099.81,0,61099.81,Male
"SMITH, JONATHAN",12/31/2022,2,FALSE,No,Challenger,Libertarian Party,Third Party,,Alabama,FALSE,TRUE,,-296.53,12617.2,0,400,0,13281.19,14276.09,0,13017.2,Male
"ROGERS, MICHAEL",12/31/2022,3,TRUE,Yes,Incumbent,Republican Party,Republican Party,"ROGERS, MICHAEL",Alabama,FALSE,TRUE,1,1027335.01,1169064.81,0,1012390.44,0,1737893.91,2261995.22,1,2181455.25,Male
"BELL, DOUGLAS A.",12/31/2022,3,FALSE,No,Challenger,Independent,Third Party,,Alabama,FALSE,TRUE,,85.25,3104.87,4575.96,0,299.93,7595.58,7680.83,0,7680.83,Male
"JOINER, MICHAEL T",5/4/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,-38.99,500,0,0,0,538.99,500,0,500,Male
"VEASEY, KAREN LIN MRS",11/28/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,3545.05,4413,0,0,0,13237.7,9968,0,4413,Female
"ADERHOLT, ROBERT B. REP.",12/31/2022,4,TRUE,Yes,Incumbent,Republican Party,Republican Party,"ADERHOLT, ROBERT B. REP.",Alabama,FALSE,TRUE,1,1159445.23,845700.98,0,684683.5,0,1028366.36,1540807.2,1,1530384.48,Male
"COCHRAN, JOHN",12/31/2022,4,FALSE,No,Challenger,Libertarian Party,Third Party,,Alabama,FALSE,TRUE,,388.58,6619.28,100,0,0,6330.7,6719.28,0,6719.28,Male
"NEIGHBORS, RICKY",11/28/2022,4,FALSE,No,Challenger,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,-2082.65,22498.3,0,0,1800,23619.51,22648.3,0,22498.3,Male
"ROBERTS, JOHN",8/31/2022,5,FALSE,No,Open,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,0,119704.38,47468.94,0,0,167173.32,167173.32,0,167173.32,Male
"SANFORD, PAUL",12/31/2022,5,FALSE,No,Open,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,0,58650.22,11458.75,0,10000,70417.97,70308.97,0,70108.97,Male
"THOMPSON, CHARLES",6/30/2022,5,FALSE,No,Open,Democratic Party,Democratic Party,,Alabama,FALSE,TRUE,,133.43,10131.54,24897.02,0,23092.16,34895.13,35028.56,0,35028.56,Male
"WARDYNSKI, CASEY",8/2/2022,5,FALSE,No,Open,Republican Party,Republican Party,,Alabama,FALSE,TRUE,,0,595228.34,154600,14500,153000,777338.34,777338.34,0,764328.34,Male
